Type;Outlet Name;Location;Description
Television;KRWG Public Media;Las Cruces;PBS and NPR affiliate serving southern New Mexico and El Paso, Texas. KRWG
Television;KENW-TV;Portales;PBS member station providing educational programming for eastern New Mexico.
Radio;KUNM 89.9 FM;Albuquerque;Public radio station offering news and cultural programming across central and northern New Mexico. KUFM
Radio;KSFR 101.1 FM;Santa Fe;Public radio station serving Santa Fe and northern New Mexico.
Radio;KANW 89.1 FM;Albuquerque;Public radio station focusing on New Mexico music and news.
Radio;KGLP 91.7 FM;Gallup;Public radio station serving Gallup and western New Mexico.
Radio;KEDP 91.1 FM;Las Vegas;Public radio station affiliated with New Mexico Highlands University.
Digital;New Mexico In Depth;Statewide;Nonprofit news organization focusing on investigative journalism in New Mexico.
Digital;NM Political Report;Statewide;Online news outlet covering politics and government in New Mexico.
Digital;The Paper.;Albuquerque;Alternative weekly newspaper offering news and cultural coverage for Albuquerque.
Digital;Source New Mexico;Statewide;Digital news outlet focusing on in-depth reporting and analysis.
Digital;Santa Fe Reporter;Santa Fe;Alternative weekly newspaper covering news, arts, and culture in Santa Fe.
Newspaper;The New York Times;New York City;Major daily newspaper with national and international coverage. Muck Rack
Newspaper;New York Post;New York City;Daily newspaper known for its sensationalist headlines and coverage. Muck Rack
Newspaper;Daily News;New York City;Daily tabloid newspaper covering local and national news. Muck Rack
Newspaper;Newsday;Melville;Daily newspaper serving Long Island and the New York metropolitan area. Muck Rack
Newspaper;The Wall Street Journal;New York City;Daily newspaper focusing on business and financial news. Muck Rack
Television;WNBC (NBC 4 New York);New York City;NBC-owned station providing local news, weather, and sports. NBC New York
Television;WABC-TV (ABC 7);New York City;ABC-owned station offering local news and programming. Agility PR
Television;WCBS-TV (CBS 2);New York City;CBS-owned station delivering local news and entertainment. Agility PR
Television;WNYW (FOX 5);New York City;FOX-owned station covering local news and events. Fox 5 New York
Television;NY1;New York City;24-hour news channel focusing on New York City news. Agility PR
Radio;WNYC 93.9 FM / 820 AM;New York City;Public radio station offering news and cultural programming. Agility PR
Radio;WCBS Newsradio 880;New York City;All-news radio station providing 24/7 news coverage. Agility PR
Radio;WINS 1010 AM;New York City;All-news radio station known for its continuous news updates. Agility PR
Radio;WOR 710 AM;New York City;Talk radio station featuring news and talk shows. Agility PR
Radio;WFAN 660 AM / 101.9 FM;New York City;Sports radio station covering local and national sports news. Agility PR
Digital;Gothamist;New York City;Online news outlet covering New York City news, arts, and events. Gothamist
Digital;The City;New York City;Nonprofit news organization focusing on investigative journalism in NYC. The City
Digital;amNewYork;New York City;Digital news platform offering local news and entertainment. AMNY
Digital;Patch New York;Statewide;Network of hyperlocal news websites covering various New York communities. Agility PR
Digital;City & State New York;New York City;Digital news outlet covering New York politics and policy. City & State NY
Newspaper;The News & Observer;Raleigh;Major daily newspaper covering Raleigh and the Triangle area. News Observer
Newspaper;The Charlotte Observer;Charlotte;Daily newspaper serving Charlotte and surrounding regions. ABC11
Newspaper;The Winston-Salem Journal;Winston-Salem;Provides news coverage for Winston-Salem and the Piedmont Triad. ABC11
Newspaper;The Fayetteville Observer;Fayetteville;Covers news in Fayetteville and southeastern North Carolina. ABC11
Newspaper;The Asheville Citizen-Times;Asheville;Focuses on news in Asheville and western North Carolina. ABC11
Television;WRAL-TV;Raleigh;NBC affiliate providing news, weather, and sports for Raleigh and the Triangle. WRAL
Television;WBTV;Charlotte;CBS affiliate offering local news coverage for Charlotte and surrounding areas. ABC11
Television;WXII 12 News;Winston-Salem;NBC affiliate covering news in Winston-Salem and the Piedmont Triad. ABC11
Television;WECT;Wilmington;NBC affiliate providing news coverage for Wilmington and southeastern North Carolina. ABC11
Television;WLOS;Asheville;ABC affiliate offering news and weather updates for Asheville and western North Carolina. WLOS
Radio;WUNC 91.5 FM;Chapel Hill;NPR affiliate offering news and cultural programming across central and eastern North Carolina. ABC11
Radio;WFAE 90.7 FM;Charlotte;NPR affiliate serving Charlotte and surrounding areas. ABC11
Radio;WFDD 88.5 FM;Winston-Salem;NPR affiliate covering Winston-Salem and the Piedmont Triad. ABC11
Radio;WHQR 91.3 FM;Wilmington;NPR affiliate providing news and cultural content for Wilmington and southeastern North Carolina. ABC11
Radio;WCQS 88.1 FM;Asheville;NPR affiliate serving Asheville and western North Carolina. ABC11
Digital;North Carolina Health News;Statewide;Nonprofit news organization focusing on health issues in North Carolina. ABC11
Digital;Carolina Public Press;Statewide;Online news outlet providing in-depth, investigative reporting on issues affecting North Carolina. ABC11
Digital;NC Policy Watch;Statewide;Digital platform offering news and analysis on public policy in North Carolina. ABC11
Digital;The Assembly;Statewide;Online publication focusing on long-form journalism and analysis of North Carolina's people, institutions, and culture. ABC11
Digital;EdNC;Statewide;Digital news outlet covering education policy and practice in North Carolina. ABC11
Newspaper;The Bismarck Tribune;Bismarck;Major daily newspaper covering Bismarck and central North Dakota. KVRR
Newspaper;The Forum of Fargo-Moorhead;Fargo;Daily newspaper serving Fargo and eastern North Dakota. KVRR
Newspaper;Grand Forks Herald;Grand Forks;Daily newspaper covering Grand Forks and northeastern North Dakota. Grand Forks Herald
Newspaper;Minot Daily News;Minot;Daily newspaper serving Minot and northwestern North Dakota. KVRR
Newspaper;Williston Herald;Williston;Daily newspaper covering Williston and the surrounding region. KVRR
Television;KX News;Bismarck/Minot;CBS affiliate providing news, weather, and sports for central and western North Dakota. KXNET
Television;WDAY-TV;Fargo;ABC affiliate offering local news coverage for Fargo and eastern North Dakota. KVRR
Television;KVLY-TV;Fargo;NBC affiliate covering news in Fargo and eastern North Dakota. KVRR
Television;KFYR-TV;Bismarck;NBC affiliate providing news coverage for Bismarck and central North Dakota. KVRR
Television;KVRR;Fargo;FOX affiliate offering news and weather updates for Fargo and eastern North Dakota. KVRR
Radio;Prairie Public Radio;Statewide;NPR affiliate offering news and cultural programming across North Dakota. Prairie Public News
Radio;KFGO 790 AM;Fargo;News/talk radio station covering Fargo and eastern North Dakota. KVRR
Radio;KFYR 550 AM;Bismarck;News/talk radio station serving Bismarck and central North Dakota. KVRR
Radio;KCJB 910 AM;Minot;News/talk radio station covering Minot and northwestern North Dakota. KVRR
Radio;KNOX 1310 AM;Grand Forks;News/talk radio station serving Grand Forks and northeastern North Dakota. KVRR
Digital;InForum;Fargo;Online platform offering news, entertainment, and sports coverage for Fargo and eastern North Dakota. KVRR
Digital;The Dickinson Press;Dickinson;Digital news outlet covering Dickinson and southwestern North Dakota. KVRR
Digital;The Jamestown Sun;Jamestown;Online news source serving Jamestown and central North Dakota. KVRR
Digital;The Minot Daily News Online;Minot;Digital platform offering news for Minot and northwestern North Dakota. KVRR
Digital;The Williston Herald Online;Williston;Online news outlet covering Williston and the surrounding region. KVRR
Newspaper;The Plain Dealer;Cleveland;Major daily newspaper covering Cleveland and Northeast Ohio. Agility PR
Newspaper;The Columbus Dispatch;Columbus;Daily newspaper serving Columbus and central Ohio. Agility PR
Newspaper;The Cincinnati Enquirer;Cincinnati;Daily newspaper covering Cincinnati and Southwest Ohio. Agility PR
Newspaper;Dayton Daily News;Dayton;Daily newspaper serving Dayton and the Miami Valley region. Agility PR
Newspaper;Akron Beacon Journal;Akron;Daily newspaper covering Akron and Summit County. Agility PR
Television;WKYC Channel 3;Cleveland;NBC affiliate providing news, weather, and sports for Northeast Ohio. Muck Rack
Television;WBNS-10TV;Columbus;CBS affiliate offering local news coverage for Columbus and central Ohio. Muck Rack
Television;WLWT News 5;Cincinnati;NBC affiliate covering news in Cincinnati and Southwest Ohio. Muck Rack
Television;WHIO-TV;Dayton;CBS affiliate providing news coverage for Dayton and the Miami Valley. Muck Rack
Television;WDTN 2 NEWS;Dayton;NBC affiliate offering news and weather updates for Dayton and surrounding areas. Muck Rack
Radio;WOSU 89.7 FM;Columbus;NPR affiliate offering news and cultural programming across central Ohio. Muck Rack
Radio;WVXU 91.7 FM;Cincinnati;NPR affiliate serving Cincinnati and Southwest Ohio. Muck Rack
Radio;WCPN 90.3 FM;Cleveland;NPR affiliate covering Cleveland and Northeast Ohio. Muck Rack
Radio;WYSO 91.3 FM;Yellow Springs;NPR affiliate serving the Miami Valley region. Muck Rack
Radio;WKSU 89.7 FM;Kent;NPR affiliate providing news and cultural content for Northeast Ohio. Muck Rack
Digital;Cleveland.com;Cleveland;Online platform offering news, entertainment, and sports coverage for Northeast Ohio. Muck Rack
Digital;Cincinnati.com;Cincinnati;Digital news outlet covering Cincinnati and Southwest Ohio. Muck Rack
Digital;Columbus Underground;Columbus;Online news source focusing on Columbus events, culture, and news. Muck Rack
Digital;Dayton.com;Dayton;Digital platform offering news and entertainment for Dayton and the Miami Valley. Muck Rack
Digital;Akron Beacon Journal Online;Akron;Digital news outlet covering Akron and Summit County. Muck Rack
Newspaper;The Oklahoman;Oklahoma City;Major daily newspaper covering Oklahoma City and statewide news. Wikipedia
Newspaper;Tulsa World;Tulsa;Daily newspaper serving Tulsa and northeastern Oklahoma. Wikipedia
Newspaper;The Norman Transcript;Norman;Daily newspaper covering Norman and surrounding areas. Wikipedia
Newspaper;The Lawton Constitution;Lawton;Daily newspaper serving Lawton and southwestern Oklahoma. Wikipedia
Newspaper;The Stillwater News Press;Stillwater;Daily newspaper covering Stillwater and Payne County. Wikipedia
Television;KFOR-TV (NBC 4);Oklahoma City;NBC affiliate providing news, weather, and sports for central Oklahoma. KFOR
Television;KOCO-TV (ABC 5);Oklahoma City;ABC affiliate offering local news coverage for Oklahoma City and surrounding areas. KOCO News
Television;KWTV-DT (CBS 9);Oklahoma City;CBS affiliate covering news in Oklahoma City and central Oklahoma. News 9
Television;KOKH-TV (FOX 25);Oklahoma City;FOX affiliate providing news coverage for Oklahoma City and central Oklahoma. OKC FOX
Television;KTUL-TV (ABC 8);Tulsa;ABC affiliate offering news and weather updates for Tulsa and northeastern Oklahoma. KFOR
Radio;KOSU 91.7 FM;Stillwater;NPR affiliate offering news and cultural programming across central and northern Oklahoma. Kosu
Radio;KGOU 106.3 FM;Norman;NPR affiliate serving Norman and central Oklahoma. KFOR
Radio;KOMA 92.5 FM;Oklahoma City;Classic hits radio station covering Oklahoma City and surrounding areas. KFOR
Radio;KRMG 102.3 FM / 740 AM;Tulsa;News/talk radio station serving Tulsa and northeastern Oklahoma. KFOR
Radio;KJYO 102.7 FM;Oklahoma City;Top 40 radio station covering Oklahoma City and central Oklahoma. KFOR
Digital;NonDoc;Oklahoma City;Online news outlet focusing on investigative journalism and in-depth reporting in Oklahoma. KFOR
Digital;Oklahoma Watch;Statewide;Nonprofit news organization providing investigative reporting on public policy issues in Oklahoma. KFOR
Digital;The Frontier;Tulsa;Digital news outlet offering investigative journalism and enterprise reporting in Oklahoma. KFOR
Digital;Tulsa Today;Tulsa;Online news source covering local news, events, and commentary in Tulsa. KFOR
Digital;Red Dirt Report;Oklahoma City;Digital news outlet focusing on Oklahoma news, culture, and opinion pieces. KFOR
Newspaper;The Oregonian;Portland;Oregon's largest daily newspaper, covering statewide news. Wikipedia
Newspaper;The Register-Guard;Eugene;Daily newspaper serving Eugene and the southern Willamette Valley.
Newspaper;Statesman Journal;Salem;Daily newspaper covering Salem and the mid-Willamette Valley.
Newspaper;Mail Tribune;Medford;Daily newspaper serving Medford and southern Oregon.
Newspaper;East Oregonian;Pendleton;Daily newspaper covering Pendleton and eastern Oregon.
Television;KGW News (NBC 8);Portland;NBC affiliate providing news, weather, and sports for Portland and surrounding areas. KGW
Television;KOIN 6 News (CBS 6);Portland;CBS affiliate offering local news coverage for Portland and southwest Washington. Koin
Television;KATU News (ABC 2);Portland;ABC affiliate covering news in Portland and the Pacific Northwest. Katu
Television;KOBI-TV NBC5;Medford;NBC affiliate providing news coverage for Medford and southern Oregon. KOBI 5
Television;KEZI 9 News (ABC 9);Eugene;ABC affiliate offering news and weather updates for Eugene and western Oregon.
Radio;Oregon Public Broadcasting;Statewide;NPR affiliate offering news and cultural programming across Oregon. OPB
Radio;KOPB-FM 91.5;Portland;OPB's primary radio station serving the Portland area. OPB
Radio;KLCC 89.7 FM;Eugene;NPR affiliate serving Eugene and the southern Willamette Valley.
Radio;KBOO 90.7 FM;Portland;Community radio station offering diverse programming in Portland.
Radio;KOPB-AM 1600;Eugene;OPB's AM station serving the Eugene area. OPB
Digital;OregonLive.com;Statewide;Online platform offering news, entertainment, and sports coverage for Oregon. Wikipedia
Digital;Willamette Week;Portland;Alternative weekly newspaper and online outlet covering Portland news and culture.
Digital;Portland Mercury;Portland;Alternative weekly newspaper and online platform focusing on Portland news and events.
Digital;Salem Reporter;Salem;Online news outlet covering local news in Salem and surrounding areas.
Digital;Eugene Weekly;Eugene;Alternative weekly newspaper and online source for Eugene news and culture.
Newspaper;The Philadelphia Inquirer;Philadelphia;Major daily newspaper covering Philadelphia and the surrounding region. Inquirer
Newspaper;Pittsburgh Post-Gazette;Pittsburgh;Daily newspaper serving Pittsburgh and western Pennsylvania.
Newspaper;The Morning Call;Allentown;Daily newspaper covering the Lehigh Valley and eastern Pennsylvania.
Newspaper;The Patriot-News;Harrisburg;Daily newspaper serving Harrisburg and central Pennsylvania.
Newspaper;The Times-Tribune;Scranton;Daily newspaper covering Scranton and northeastern Pennsylvania.
Television;WPVI-TV (6ABC);Philadelphia;ABC affiliate providing news, weather, and sports for the Philadelphia area. 6ABC
Television;KDKA-TV (CBS 2);Pittsburgh;CBS affiliate offering local news coverage for Pittsburgh and western Pennsylvania.
Television;WHTM-TV (ABC 27);Harrisburg;ABC affiliate covering news in Harrisburg and central Pennsylvania.
Television;WNEP-TV (ABC 16);Scranton;ABC affiliate providing news coverage for Scranton and northeastern Pennsylvania.
Television;WFMZ-TV (69 News);Allentown;Independent station offering news and weather updates for the Lehigh Valley.
Radio;WHYY-FM 90.9;Philadelphia;NPR affiliate offering news and cultural programming across the Philadelphia region.
Radio;KDKA 1020 AM;Pittsburgh;News/talk radio station serving Pittsburgh and western Pennsylvania.
Radio;WITF-FM 89.5;Harrisburg;NPR affiliate covering Harrisburg and central Pennsylvania.
Radio;WVIA-FM 89.9;Scranton;NPR affiliate providing news and cultural content for Scranton and northeastern Pennsylvania.
Radio;WDIY 88.1 FM;Allentown;NPR affiliate serving the Lehigh Valley and eastern Pennsylvania.
Digital;Spotlight PA;Statewide;Nonprofit newsroom dedicated to investigative journalism across Pennsylvania. Spotlight PA
Digital;PennLive;Harrisburg;Online news platform offering news, sports, and entertainment for central Pennsylvania.
Digital;Billy Penn;Philadelphia;Digital news outlet covering Philadelphia news and events.
Digital;The Incline;Pittsburgh;Online publication focusing on Pittsburgh news and culture.
Digital;LehighValleyLive.com;Allentown;Digital news source covering the Lehigh Valley and eastern Pennsylvania.
Newspaper;The Providence Journal;Providence;Rhode Island's largest daily newspaper, covering statewide news. Wikipedia
Newspaper;Warwick Beacon;Warwick;Weekly newspaper serving the Warwick area. Warwick Online
Newspaper;East Bay Newspapers;Bristol;Publisher of several weekly newspapers covering the East Bay region. Wikipedia
Television;WPRI 12 News;Providence;CBS affiliate providing news, weather, and sports for Rhode Island and Southeastern Massachusetts. WPRI
Television;NBC 10 WJAR;Providence;NBC affiliate offering local news coverage for Providence and surrounding communities. Turn to 10
Television;ABC6 News;Providence;ABC affiliate covering news in Providence and New Bedford, MA. ABC6
Radio;WPRO 630 AM / 99.7 FM;Providence;News/talk radio station serving the Providence area.
Radio;Rhode Island Public Radio;Providence;NPR affiliate offering news and cultural programming across Rhode Island.
Radio;WHJJ 920 AM;Providence;News/talk radio station covering Providence and surrounding areas.
Digital;GoLocalProv;Providence;Online news outlet focusing on Rhode Island news, politics, and lifestyle.
Digital;Patch Rhode Island;Statewide;Network of hyperlocal news websites covering various Rhode Island communities.
Newspaper;The State;Columbia;Daily newspaper covering Columbia and the Midlands region. The State
Newspaper;The Post and Courier;Charleston;Daily newspaper serving Charleston and the Lowcountry. South Carolina Public Radio
Newspaper;The Greenville News;Greenville;Daily newspaper covering Greenville and the Upstate region. South Carolina Public Radio
Newspaper;The Sun News;Myrtle Beach;Daily newspaper serving Myrtle Beach and the Grand Strand. South Carolina Public Radio
Newspaper;The Herald;Rock Hill;Daily newspaper covering Rock Hill and York County. Herald Online
Television;WLTX 19;Columbia;CBS affiliate providing news, weather, and sports for Columbia and the Midlands. WLTX
Television;WIS News 10;Columbia;NBC affiliate offering local news coverage for Columbia and surrounding areas. South Carolina Public Radio
Television;WCSC Live 5 News;Charleston;CBS affiliate covering news in Charleston and the Lowcountry. South Carolina Public Radio
Television;WYFF 4;Greenville;NBC affiliate providing news coverage for Greenville and the Upstate. South Carolina Public Radio
Television;WPDE ABC 15;Myrtle Beach;ABC affiliate offering news and weather updates for Myrtle Beach and the Pee Dee region. South Carolina Public Radio
Radio;South Carolina Public Radio;Statewide;NPR affiliate offering news and cultural programming across South Carolina. South Carolina Public Radio
Radio;WVOC 560 AM;Columbia;News/talk radio station serving Columbia and the Midlands. South Carolina Public Radio
Radio;WBT 1110 AM;Charlotte, NC;News/talk radio station covering parts of South Carolina, including Rock Hill and York County. South Carolina Public Radio
Radio;WRNN 99.5 FM;Myrtle Beach;News/talk radio station serving Myrtle Beach and the Grand Strand. South Carolina Public Radio
Radio;WORD 106.3 FM;Greenville;News/talk radio station covering Greenville and the Upstate. South Carolina Public Radio
Digital;FITSNews;Statewide;Online news outlet focusing on South Carolina politics and current events. South Carolina Public Radio
Digital;Charleston City Paper;Charleston;Alternative weekly newspaper and online platform covering Charleston news and culture. South Carolina Public Radio
Digital;Greenville Journal;Greenville;Weekly newspaper and online source for Greenville news and events. South Carolina Public Radio
Digital;MyrtleBeachOnline.com;Myrtle Beach;Digital platform offering news, entertainment, and sports coverage for Myrtle Beach and the Grand Strand. South Carolina Public Radio
Digital;ColaDaily;Columbia;Online news outlet covering Columbia and the Midlands region. South Carolina Public Radio
Newspaper;Argus Leader;Sioux Falls;The largest daily newspaper in South Dakota, covering statewide news. Wikipedia
Newspaper;Rapid City Journal;Rapid City;Daily newspaper serving Rapid City and the Black Hills region.
Newspaper;Aberdeen American News;Aberdeen;Daily newspaper covering Aberdeen and northeastern South Dakota.
Newspaper;Watertown Public Opinion;Watertown;Daily newspaper serving Watertown and surrounding areas.
Newspaper;Brookings Register;Brookings;Daily newspaper covering Brookings and the surrounding community. Brookings Register
Television;KELOLAND Media Group;Sioux Falls;CBS affiliate providing news, weather, and sports for eastern South Dakota. KELOLAND News
Television;KSFY News;Sioux Falls;ABC affiliate offering local news coverage for Sioux Falls and surrounding areas.
Television;KDLT News;Sioux Falls;NBC affiliate covering news in Sioux Falls and eastern South Dakota.
Television;KOTA Territory News;Rapid City;ABC affiliate providing news coverage for Rapid City and the Black Hills.
Television;KNBN NewsCenter1;Rapid City;NBC affiliate offering news and weather updates for Rapid City and western South Dakota.
Radio;SDPB Radio;Statewide;NPR affiliate offering news and cultural programming across South Dakota. SDPB
Radio;KELO-AM 1320;Sioux Falls;News/talk radio station serving Sioux Falls and eastern South Dakota. Kelo
Radio;KOTA-AM 1380;Rapid City;News/talk radio station covering Rapid City and the Black Hills region.
Radio;KSOO-AM 1140;Sioux Falls;News/talk radio station serving Sioux Falls and surrounding areas.
Radio;KORN-AM 1490;Mitchell;News/talk radio station covering Mitchell and central South Dakota.
Digital;Sioux Falls Live;Sioux Falls;Online news outlet focusing on Sioux Falls news, weather, and events. Sioux Falls Live
Digital;South Dakota News Watch;Statewide;Nonprofit news organization providing investigative reporting on public policy issues in South Dakota.
Digital;KELOLAND.com;Sioux Falls;Digital platform offering news, weather, and sports coverage for KELOLAND Media Group. KELOLAND News
Digital;SDPB.org;Statewide;Online platform for South Dakota Public Broadcasting, offering news and cultural content. SDPB
Digital;Mitchell Republic;Mitchell;Online news outlet covering Mitchell and the surrounding region.
Newspaper;The Tennessean;Nashville;Daily newspaper covering Nashville and Middle Tennessee. Wikipedia
Newspaper;Knoxville News Sentinel;Knoxville;Daily newspaper serving Knoxville and East Tennessee. Wikipedia
Newspaper;Chattanooga Times Free Press;Chattanooga;Daily newspaper covering Chattanooga and Southeast Tennessee.
Newspaper;The Commercial Appeal;Memphis;Daily newspaper serving Memphis and West Tennessee.
Newspaper;The Leaf-Chronicle;Clarksville;Daily newspaper covering Clarksville and Montgomery County.
Television;WKRN News 2;Nashville;ABC affiliate providing news, weather, and sports for Middle Tennessee. WKRN
Television;WSMV News 4;Nashville;NBC affiliate offering local news coverage for Nashville and surrounding areas.
Television;WREG News Channel 3;Memphis;CBS affiliate covering news in Memphis and the Mid-South.
Television;WATE 6 On Your Side;Knoxville;ABC affiliate providing news coverage for Knoxville and East Tennessee. Wate
Television;WTVC NewsChannel 9;Chattanooga;ABC affiliate offering news and weather updates for Chattanooga and Southeast Tennessee.
Radio;WPLN News 90.3 FM;Nashville;NPR affiliate offering news and cultural programming across Middle Tennessee.
Radio;WKNO-FM 91.1;Memphis;NPR affiliate serving Memphis and the Mid-South.
Radio;WUOT 91.9 FM;Knoxville;NPR affiliate covering Knoxville and East Tennessee.
Radio;WUTC 88.1 FM;Chattanooga;NPR affiliate providing news and cultural content for Chattanooga and Southeast Tennessee.
Radio;WDVX 89.9 FM;Knoxville;Community radio station featuring Americana and roots music, along with local news.
Digital;Tennessee Lookout;Statewide;Nonprofit news organization providing in-depth reporting on Tennessee politics and policy.
Digital;Nashville Scene;Nashville;Alternative weekly newspaper and online platform covering Nashville news, culture, and events.
Digital;Memphis Flyer;Memphis;Alternative weekly newspaper and online source for Memphis news and culture.
Digital;Knoxville Mercury;Knoxville;Online news outlet focusing on Knoxville news, events, and culture.
Digital;Chattanooga Pulse;Chattanooga;Alternative weekly newspaper and online platform covering Chattanooga news and entertainment.
Newspaper;The Dallas Morning News;Dallas;Major daily newspaper covering Dallas and North Texas. Muck Rack
Newspaper;Houston Chronicle;Houston;Daily newspaper serving Houston and surrounding areas. Muck Rack
Newspaper;San Antonio Express-News;San Antonio;Daily newspaper covering San Antonio and South Texas. Muck Rack
Newspaper;Austin American-Statesman;Austin;Daily newspaper serving Austin and Central Texas. Muck Rack
Newspaper;Fort Worth Star-Telegram;Fort Worth;Daily newspaper covering Fort Worth and Tarrant County. Muck Rack
Television;KXAS-TV (NBC 5);Dallas/Fort Worth;NBC affiliate providing news, weather, and sports for the Dallas/Fort Worth area. CBS News
Television;KHOU 11 News;Houston;CBS affiliate offering local news coverage for Houston and Southeast Texas. CBS News
Television;KSAT 12 News;San Antonio;ABC affiliate covering news in San Antonio and the Hill Country. CBS News
Television;KVUE News;Austin;ABC affiliate providing news coverage for Austin and Central Texas. CBS News
Television;KXAN News;Austin;NBC affiliate offering news and weather updates for Austin and surrounding areas. CBS News
Radio;KERA News 90.1 FM;Dallas;NPR affiliate offering news and cultural programming across North Texas. CBS News
Radio;KUHF News 88.7 FM;Houston;NPR affiliate serving Houston and Southeast Texas. CBS News
Radio;KUT 90.5 FM;Austin;NPR affiliate covering Austin and Central Texas. CBS News
Radio;Texas Public Radio;San Antonio;NPR affiliate providing news and cultural content for San Antonio and the Hill Country. CBS News
Radio;WBAP 820 AM;Dallas/Fort Worth;News/talk radio station serving the Dallas/Fort Worth area. CBS News
Digital;The Texas Tribune;Statewide;Nonprofit news organization providing in-depth reporting on Texas politics and policy. Texas Tribune
Digital;Texas Monthly;Statewide;Magazine and online platform covering Texas news, culture, and lifestyle. Intelligent Relations
Digital;Community Impact Newspaper;Multiple Cities;Local news outlet with editions covering various Texas communities. Wikipedia
Digital;CultureMap;Multiple Cities;Online news source focusing on Texas lifestyle, entertainment, and events. Wikipedia
Digital;Texas Observer;Statewide;Nonprofit news organization offering investigative journalism and commentary on Texas issues. Wikipedia
Newspaper;The Salt Lake Tribune;Salt Lake City;Daily newspaper covering statewide news, politics, and culture. The Salt Lake Tribune
Newspaper;Deseret News;Salt Lake City;Daily newspaper owned by the LDS Church, focusing on Utah news and national issues. Wikipedia
Newspaper;The Daily Herald;Provo;Daily newspaper serving Utah County and central Utah.
Newspaper;Standard-Examiner;Ogden;Daily newspaper covering northern Utah, including Ogden and surrounding areas.
Newspaper;The Spectrum;St. George;Daily newspaper serving southern Utah, including St. George and Cedar City.
Television;KSL-TV (NBC 5);Salt Lake City;NBC affiliate providing news, weather, and sports for Utah. KSL TV
Television;KUTV 2 News (CBS 2);Salt Lake City;CBS affiliate offering local news coverage for Salt Lake City and surrounding areas. KUTV
Television;ABC4 Utah (KTVX);Salt Lake City;ABC affiliate covering news in Salt Lake City and the Wasatch Front. ABC 4
Television;FOX 13 News (KSTU);Salt Lake City;FOX affiliate providing news coverage for Salt Lake City and northern Utah. Fox 13 Now
Television;KUED (PBS Utah);Salt Lake City;PBS member station offering educational and cultural programming statewide.
Radio;KSL NewsRadio 102.7 FM/1160 AM;Salt Lake City;News/talk radio station affiliated with KSL-TV, covering Utah news and events.
Radio;KUER 90.1 FM;Salt Lake City;NPR affiliate offering news and cultural programming across Utah. KUER
Radio;KCPW 88.3 FM;Salt Lake City;Public radio station providing news and information for the Salt Lake area.
Radio;KNRS 105.9 FM/570 AM;Salt Lake City;News/talk radio station covering local and national news.
Radio;KRCL 90.9 FM;Salt Lake City;Community radio station featuring diverse music and public affairs programming.
Digital;KSL.com;Salt Lake City;Online news platform affiliated with KSL-TV and KSL NewsRadio, covering Utah news, sports, and classifieds. KSL
Digital;Utah Policy;Salt Lake City;Online news outlet focusing on Utah politics and policy analysis.
Digital;Gephardt Daily;Salt Lake City;Digital news source covering breaking news, politics, and community events in Utah.
Digital;St. George News;St. George;Online news platform covering southern Utah, including local news, events, and features.
Digital;Utah Business;Salt Lake City;Digital and print publication covering Utah's business community and economic trends.
Newspaper;The Burlington Free Press;Burlington;Daily newspaper covering Burlington and the surrounding region. Wikipedia
Newspaper;Seven Days;Burlington;Alternative weekly newspaper covering Vermont news, politics, and culture. Seven Days
Newspaper;The Vermont Standard;Woodstock;Weekly newspaper serving the Woodstock area and Upper Valley. The Vermont Standard
Newspaper;The Times Argus;Barre;Daily newspaper covering central Vermont, including Barre and Montpelier.
Newspaper;Rutland Herald;Rutland;Daily newspaper serving Rutland and southern Vermont.
Television;WCAX-TV (CBS 3);Burlington;CBS affiliate providing news, weather, and sports for Vermont and the Champlain Valley.
Television;WPTZ (NBC 5);Plattsburgh, NY;NBC affiliate covering news in Vermont and northern New York.
Television;WVNY (ABC 22);Burlington;ABC affiliate offering local news coverage for Burlington and the Champlain Valley. My Champlain Valley
Television;WFFF (FOX 44);Burlington;FOX affiliate providing news and weather updates for Burlington and surrounding areas. My Champlain Valley
Television;Vermont PBS;Statewide;Public television network offering educational and cultural programming across Vermont. Vermont PBS
Radio;Vermont Public Radio (VPR);Statewide;NPR affiliate offering news and cultural programming throughout Vermont. Vermont Public
Radio;WDEV 96.1 FM/550 AM;Waterbury;Independent radio station providing news, talk, and music for central Vermont.
Radio;WVMT 96.3 FM/620 AM;Burlington;News/talk radio station serving Burlington and the Champlain Valley.
Radio;WEQX 102.7 FM;Manchester;Independent radio station featuring alternative music and local news.
Radio;WBTN 1370 AM;Bennington;Community radio station offering local news and public affairs programming.
Digital;VTDigger;Montpelier;Nonprofit news organization providing in-depth reporting on Vermont politics and policy. VTDigger
Digital;VT Digger;Statewide;Online news outlet focusing on investigative journalism and statewide news. VTDigger
Digital;Vermont Business Magazine;Burlington;Digital and print publication covering Vermont's business community and economic trends.
Digital;The Other Paper;South Burlington;Weekly newspaper and online platform covering South Burlington news and events.
Digital;The Stowe Reporter;Stowe;Weekly newspaper and online source for Stowe news, sports, and community events.
Newspaper;The Washington Post;Washington, D.C.;Major daily newspaper covering national and regional news, including Northern Virginia. WTOP
Newspaper;Richmond Times-Dispatch;Richmond;Daily newspaper serving Richmond and Central Virginia. WTVR
Newspaper;The Virginian-Pilot;Norfolk;Daily newspaper covering Norfolk, Virginia Beach, and the Hampton Roads area.
